"Zipcode";"Estimated Commute Time in Minutes"
"10001";24.8
"10002";31.4
"10003";25.0
"10004";23.7
"10005";24.1
"10006";19.4
"10007";23.5
"10009";30.7
"10010";27.1
"10011";24.4
"10012";24.0
"10013";26.1
"10014";24.8
"10016";25.3
"10017";23.2
"10018";26.9
"10019";24.0
"10021";28.4
"10022";24.9
"10023";28.3
"10024";30.1
"10025";31.2
"10026";33.9
"10027";30.6
"10028";29.6
"10029";33.2
"10030";36.1
"10031";37.5
"10032";36.5
"10033";38.1
"10034";40.2
"10035";34.5
"10036";27.0
"10037";34.5
"10038";24.4
"10039";38.1
"10040";40.3
"10044";36.3
"10065";24.1
"10069";31.1
"10075";31.9
"10128";32.1
"10162";27.8
"10280";27.9
"10282";28.8
"10301";40.7
"10302";39.3
"10303";43.4
"10304";40.4
"10305";37.9
"10306";42.8
"10307";45.5
"10308";44.3
"10309";45.3
"10310";40.5
"10312";43.3
"10314";40.1
"10451";40.9
"10452";41.6
"10453";41.3
"10454";39.5
"10455";40.6
"10456";44.1
"10457";42.6
"10458";41.5
"10459";40.0
"10460";41.2
"10461";37.1
"10462";43.0
"10463";41.9
"10464";37.1
"10465";38.2
"10466";44.2
"10467";42.2
"10468";42.6
"10469";39.5
"10470";41.2
"10471";39.9
"10472";44.5
"10473";43.8
"10474";40.7
"10475";46.2
"11001";35.2
"11003";38.7
"11004";39.5
"11005";27.8
"11040";36.6
"11101";34.0
"11102";36.1
"11103";36.9
"11104";37.7
"11105";38.2
"11106";35.6
"11109";28.6
"11201";31.9
"11203";46.3
"11204";40.2
"11205";35.7
"11206";38.8
"11207";52.6
"11208";45.1
"11209";41.0
"11210";39.1
"11211";30.5
"11212";44.7
"11213";39.5
"11214";45.5
"11215";38.3
"11216";41.0
"11217";35.6
"11218";41.6
"11219";39.7
"11220";47.2
"11221";45.4
"11222";34.3
"11223";42.7
"11224";45.2
"11225";42.2
"11226";45.6
"11228";42.4
"11229";42.3
"11230";38.4
"11231";35.6
"11232";41.7
"11233";43.8
"11234";42.4
"11235";42.9
"11236";47.4
"11237";38.8
"11238";38.8
"11239";48.9
"11354";41.9
"11355";43.3
"11356";39.6
"11357";35.9
"11358";38.8
"11360";39.2
"11361";38.4
"11362";39.8
"11363";34.8
"11364";41.5
"11365";43.9
"11366";43.0
"11367";40.9
"11368";43.4
"11369";41.8
"11370";37.3
"11372";41.5
"11373";41.7
"11374";41.6
"11375";41.2
"11377";38.0
"11378";39.3
"11379";37.8
"11385";39.9
"11411";48.5
"11412";49.8
"11413";47.6
"11414";37.7
"11415";38.9
"11416";45.3
"11417";40.8
"11418";43.7
"11419";46.3
"11420";45.9
"11421";45.7
"11422";49.3
"11423";45.7
"11426";39.2
"11427";41.8
"11428";42.3
"11429";47.0
"11430";56.6
"11432";45.0
"11433";44.3
"11434";47.8
"11435";45.3
"11436";44.5
"11691";45.8
"11692";49.0
"11693";43.2
"11694";41.9
"11697";46.8
