"zip_code";"Borough";"Extremely Low Income Units";"Very Low Income Units";"Low Income Units";"Moderate Income Units";"Middle Income Units";"Counted Rental Units";"Counted Homeownership Units";"Total Units"
"10001";"Manhattan";429;274;690;364;297;594;1460;2054
"10002";"Manhattan";408;1482;614;129;188;1705;1124;2829
"10003";"Manhattan";18;0;90;0;0;108;0;108
"10009";"Manhattan";242;127;1016;32;3990;4922;490;5412
"10010";"Manhattan";84;11;480;12;1009;1598;0;1598
"10011";"Manhattan";131;153;180;187;237;160;729;889
"10012";"Manhattan";0;175;0;0;0;0;175;175
"10013";"Manhattan";0;0;63;0;0;63;0;63
"10014";"Manhattan";0;7;38;0;7;52;0;52
"10016";"Manhattan";8;0;601;0;3;613;0;613
"10017";"Manhattan";0;0;87;0;0;87;0;87
"10018";"Manhattan";0;0;216;0;0;216;0;216
"10019";"Manhattan";149;159;444;32;90;877;0;877
"10021";"Manhattan";0;0;10;0;0;0;10;10
"10022";"Manhattan";0;0;23;0;23;46;0;46
"10023";"Manhattan";0;0;272;0;50;322;0;322
"10024";"Manhattan";24;0;16;0;0;40;0;40
"10025";"Manhattan";209;390;261;10;0;639;234;873
"10026";"Manhattan";280;221;575;1;16;1022;82;1104
"10027";"Manhattan";334;239;577;31;157;1350;0;1350
"10028";"Manhattan";0;0;5;0;0;5;0;5
"10029";"Manhattan";570;2580;672;61;134;2392;1643;4035
"10030";"Manhattan";70;219;714;59;106;1185;0;1185
"10031";"Manhattan";117;169;456;87;16;817;35;852
"10032";"Manhattan";278;62;114;100;12;477;94;571
"10033";"Manhattan";2;15;51;0;0;69;0;69
"10034";"Manhattan";88;48;36;10;0;184;0;184
"10035";"Manhattan";257;206;667;20;0;1013;145;1158
"10036";"Manhattan";3;305;349;59;0;708;9;717
"10037";"Manhattan";10;76;865;652;404;1184;828;2012
"10038";"Manhattan";0;0;121;0;0;121;0;121
"10039";"Manhattan";9;78;233;146;0;445;25;470
"10069";"Manhattan";0;0;119;0;0;119;0;119
"10128";"Manhattan";487;163;134;0;21;134;673;807
"10158";"Manhattan";0;0;75;0;0;75;0;75
"10301";"Staten Island";0;139;337;0;0;478;0;478
"10303";"Staten Island";429;0;108;0;0;536;1;537
"10304";"Staten Island";296;113;377;10;0;725;74;799
"10314";"Staten Island";160;0;0;0;0;161;0;161
"10451";"Bronx";368;393;1830;134;1;2739;0;2739
"10452";"Bronx";721;951;1080;15;9;2645;151;2796
"10453";"Bronx";368;652;1179;59;9;2247;47;2294
"10454";"Bronx";998;182;638;29;28;1882;0;1882
"10455";"Bronx";435;492;1349;206;36;2526;10;2536
"10456";"Bronx";835;943;926;52;4;2471;328;2799
"10457";"Bronx";543;513;2176;143;11;3327;82;3409
"10458";"Bronx";441;162;733;357;4;1709;0;1709
"10459";"Bronx";520;469;1124;2;34;2093;76;2169
"10460";"Bronx";809;284;1675;108;13;2879;29;2908
"10461";"Bronx";75;81;8;0;7;15;157;172
"10462";"Bronx";31;21;164;0;5;222;0;222
"10463";"Bronx";0;262;43;4;0;37;275;312
"10463";"Manhattan";0;0;95;0;222;317;0;317
"10466";"Bronx";0;1;1;0;0;2;0;2
"10467";"Bronx";289;529;387;32;10;370;882;1252
"10468";"Bronx";183;177;551;170;359;1100;352;1452
"10471";"Bronx";0;8;86;0;0;95;0;95
"10472";"Bronx";78;154;685;0;0;925;0;925
"10473";"Bronx";434;1963;535;114;13;2164;900;3064
"10474";"Bronx";48;155;296;17;55;579;0;579
"11101";"Queens";0;0;266;0;62;328;0;328
"11102";"Queens";0;0;109;0;0;109;0;109
"11104";"Queens";0;0;0;0;3;3;0;3
"11105";"Queens";348;58;49;72;0;528;0;528
"11106";"Queens";0;0;21;0;0;21;0;21
"11201";"Brooklyn";0;0;320;0;497;395;422;817
"11203";"Brooklyn";182;4;414;0;8;320;289;609
"11205";"Brooklyn";2;145;352;70;7;342;237;579
"11206";"Brooklyn";288;190;768;5;45;1245;58;1303
"11207";"Brooklyn";288;789;892;49;6;2020;18;2038
"11208";"Brooklyn";346;278;834;117;0;1581;4;1585
"11210";"Brooklyn";115;0;7;0;0;123;0;123
"11211";"Brooklyn";221;107;267;33;4;643;0;643
"11212";"Brooklyn";536;190;1924;12;27;2696;6;2702
"11213";"Brooklyn";120;178;274;95;19;694;0;694
"11214";"Brooklyn";214;128;0;0;0;345;0;345
"11215";"Brooklyn";11;34;41;1;6;93;0;93
"11216";"Brooklyn";81;98;605;25;70;882;4;886
"11217";"Brooklyn";12;321;912;19;240;1302;209;1511
"11218";"Brooklyn";6;10;4;36;0;20;36;56
"11220";"Brooklyn";327;32;10;17;1;392;0;392
"11221";"Brooklyn";78;178;425;19;55;733;31;764
"11222";"Brooklyn";10;107;518;34;105;775;0;775
"11223";"Brooklyn";8;116;73;0;0;74;125;199
"11224";"Brooklyn";172;89;1429;71;71;1688;154;1842
"11225";"Brooklyn";5;237;40;0;43;87;239;326
"11226";"Brooklyn";66;22;65;0;16;171;0;171
"11229";"Brooklyn";0;0;0;0;9;9;0;9
"11230";"Brooklyn";0;0;181;0;15;197;0;197
"11231";"Brooklyn";38;39;224;0;6;307;0;307
"11232";"Brooklyn";27;14;31;1;0;74;0;74
"11233";"Brooklyn";305;426;1264;742;31;2744;44;2788
"11235";"Brooklyn";896;0;0;0;193;0;1090;1090
"11236";"Brooklyn";0;1;28;11;0;41;0;41
"11237";"Brooklyn";96;26;15;3;29;170;0;170
"11238";"Brooklyn";90;170;1048;480;322;1799;316;2115
"11239";"Brooklyn";74;3696;2679;0;0;6452;0;6452
"11249";"Brooklyn";76;5;491;0;39;612;0;612
"11355";"Queens";0;66;107;111;0;286;0;286
"11358";"Queens";0;0;0;0;3;3;0;3
"11368";"Queens";67;302;0;0;0;370;0;370
"11369";"Queens";38;13;16;2;0;69;1;70
"11377";"Queens";0;393;592;1;0;8;978;986
"11411";"Queens";0;0;3;0;0;0;3;3
"11412";"Queens";61;20;49;4;0;120;15;135
"11413";"Queens";42;0;8;0;0;42;8;50
"11417";"Queens";0;0;1;0;0;0;1;1
"11419";"Queens";0;0;1;0;0;0;1;1
"11420";"Queens";0;0;7;0;0;0;7;7
"11422";"Queens";0;0;1;0;0;0;1;1
"11423";"Queens";0;0;3;0;0;0;3;3
"11427";"Queens";0;0;0;1;0;0;1;1
"11429";"Queens";0;0;5;1;0;0;6;6
"11432";"Queens";0;17;114;65;0;195;2;197
"11433";"Queens";28;57;310;134;0;529;3;532
"11434";"Queens";240;179;99;2;0;298;226;524
"11435";"Queens";0;41;271;176;582;1069;4;1073
"11436";"Queens";0;0;5;1;0;0;6;6
"11691";"Queens";283;147;1006;454;1;1898;0;1898
"11692";"Queens";0;0;1124;0;343;1125;343;1468
"11693";"Queens";0;836;96;50;0;64;919;983
